signature,file,startline,startcol,endline,endcol,properties
Lcom/android/org/conscrypt/AbstractConscryptSocket;->getHostname()Ljava/lang/String;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,520,5,520,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/AbstractConscryptSocket;->setHostname(Ljava/lang/String;)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,530,5,532,92,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+javax.net.ssl.SSLParameters%23setServerNames%7D.%22
Lcom/android/org/conscrypt/AbstractConscryptSocket;->getHostnameOrIP()Ljava/lang/String;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,543,5,543,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/AbstractConscryptSocket;->setSoWriteTimeout(I)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,560,5,560,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/AbstractConscryptSocket;->getSoWriteTimeout()I,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,568,5,568,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/AbstractConscryptSocket;->setHandshakeTimeout(I)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,577,5,577,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/AbstractConscryptSocket;->setUseSessionTickets(Z)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,635,5,637,97,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40link+android.net.ssl.SSLSockets%23setUseSessionTickets%7D.%22
Lcom/android/org/conscrypt/AbstractConscryptSocket;->setChannelIdEnabled(Z)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,649,5,649,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/AbstractConscryptSocket;->getChannelId()[B,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,662,5,662,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/AbstractConscryptSocket;->setChannelIdPrivateKey(Ljava/security/PrivateKey;)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,677,5,677,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/AbstractConscryptSocket;->getAlpnSelectedProtocol()[B,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,686,5,688,98,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+javax.net.ssl.SSLSocket%23getApplicationProtocol%28%29%7D.%22
Lcom/android/org/conscrypt/AbstractConscryptSocket;->setAlpnProtocols([Ljava/lang/String;)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,700,5,704,99,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+javax.net.ssl.SSLParameters%23setApplicationProtocols%28java.lang.String%5B%5D%29%7D.%22
Lcom/android/org/conscrypt/AbstractConscryptSocket;->setAlpnProtocols([B)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,717,5,721,99,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+javax.net.ssl.SSLParameters%23setApplicationProtocols%28java.lang.String%5B%5D%29%7D.%22
Lcom/android/org/conscrypt/AbstractConscryptSocket;->setApplicationProtocols([Ljava/lang/String;)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,731,5,735,99,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+javax.net.ssl.SSLParameters%23setApplicationProtocols%28java.lang.String%5B%5D%29%7D.%22
Lcom/android/org/conscrypt/AbstractConscryptSocket;->getApplicationProtocols()[Ljava/lang/String;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,743,5,746,90,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+javax.net.ssl.SSLParameters%23getApplicationProtocols%28%29%7D.%22
Lcom/android/org/conscrypt/ClientSessionContext;->setPersistentCache(Lcom/android/org/conscrypt/SSLClientSessionCache;)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/ClientSessionContext.java,55,5,55,51,
Lcom/android/org/conscrypt/ClientSessionContext;->getSession(Ljava/lang/String;I)Lcom/android/org/conscrypt/NativeSslSession;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/ClientSessionContext.java,122,5,122,51,
Lcom/android/org/conscrypt/ConscryptEngineSocket;->setHostname(Ljava/lang/String;)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/ConscryptEngineSocket.java,448,5,450,92,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+javax.net.ssl.SSLParameters%23setServerNames%7D.%22
Lcom/android/org/conscrypt/ConscryptEngineSocket;->setUseSessionTickets(Z)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/ConscryptEngineSocket.java,458,5,460,97,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40link+android.net.ssl.SSLSockets%23setUseSessionTickets%7D.%22
Lcom/android/org/conscrypt/ConscryptFileDescriptorSocket;->setUseSessionTickets(Z)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/ConscryptFileDescriptorSocket.java,767,5,769,97,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40link+android.net.ssl.SSLSockets%23setUseSessionTickets%7D.%22
Lcom/android/org/conscrypt/ConscryptFileDescriptorSocket;->setHostname(Ljava/lang/String;)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/ConscryptFileDescriptorSocket.java,782,5,784,92,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+javax.net.ssl.SSLParameters%23setServerNames%7D.%22
Lcom/android/org/conscrypt/FileClientSessionCache$Impl;->getSessionData(Ljava/lang/String;I)[B,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/FileClientSessionCache.java,136,9,136,55,
Lcom/android/org/conscrypt/FileClientSessionCache;->usingDirectory(Ljava/io/File;)Lcom/android/org/conscrypt/SSLClientSessionCache;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/FileClientSessionCache.java,336,5,336,51,
Lcom/android/org/conscrypt/NativeCrypto;->EVP_PKEY_new_RSA([B[B[B[B[B[B[B[B)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,92,5,92,51,
Lcom/android/org/conscrypt/NativeCrypto;->EVP_PKEY_free(J)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,102,5,102,51,
Lcom/android/org/conscrypt/NativeCrypto;->RSA_generate_key_ex(I[B)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,125,5,125,51,
Lcom/android/org/conscrypt/NativeCrypto;->EC_GROUP_new_by_curve_name(Ljava/lang/String;)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,165,5,165,51,
Lcom/android/org/conscrypt/NativeCrypto;->EC_GROUP_clear_free(J)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,175,5,175,51,
Lcom/android/org/conscrypt/NativeCrypto;->EC_POINT_clear_free(J)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,188,5,188,51,
Lcom/android/org/conscrypt/NativeCrypto;->EVP_get_digestbyname(Ljava/lang/String;)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,230,5,230,51,
Lcom/android/org/conscrypt/NativeCrypto;->EVP_MD_size(J)I,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,233,5,233,51,
Lcom/android/org/conscrypt/NativeCrypto;->EVP_MD_CTX_create()J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,237,5,237,51,
Lcom/android/org/conscrypt/NativeCrypto;->EVP_MD_CTX_destroy(J)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,241,5,241,51,
Lcom/android/org/conscrypt/NativeCrypto;->EVP_get_cipherbyname(Ljava/lang/String;)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,318,5,318,51,
Lcom/android/org/conscrypt/NativeCrypto;->EVP_CIPHER_iv_length(J)I,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,330,5,330,51,
Lcom/android/org/conscrypt/NativeCrypto;->EVP_CIPHER_CTX_new()J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,333,5,333,51,
Lcom/android/org/conscrypt/NativeCrypto;->RAND_bytes([B)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,451,5,451,51,
Lcom/android/org/conscrypt/NativeCrypto;->d2i_X509_bio(J)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,494,5,494,51,
Lcom/android/org/conscrypt/NativeCrypto;->d2i_X509([B)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,496,5,496,51,
Lcom/android/org/conscrypt/NativeCrypto;->PEM_read_bio_X509(J)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,499,5,499,51,
Lcom/android/org/conscrypt/NativeCrypto;->ASN1_seq_pack_X509([J)[B,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,507,5,507,51,
Lcom/android/org/conscrypt/NativeCrypto;->ASN1_seq_unpack_X509_bio(J)[J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,510,5,510,51,
Lcom/android/org/conscrypt/NativeCrypto;->d2i_PKCS7_bio(JI)[J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,584,5,584,51,
